forward_out_noise,backward_out_noise,desired_bl,train_loss,train_acc,test_loss,test_acc,train_time_sec
0.6,1.0,3,nan,0.29651666666666665,nan,0.098,33.72571074999996
0.8,0.0,3,nan,0.46903333333333336,nan,0.098,32.842466291000164
0.8,0.2,3,nan,0.09871666666666666,nan,0.098,31.46975729199994
0.8,0.4,3,nan,0.5295833333333333,nan,0.098,35.902766791999966
0.8,0.6,3,nan,0.09871666666666666,nan,0.098,35.85683241700008
0.8,0.8,3,nan,0.09871666666666666,nan,0.098,33.00254654199989
0.8,1.0,3,nan,0.18855,nan,0.098,33.33163666599967
1.0,0.0,3,nan,0.10086666666666666,nan,0.098,31.88720149999972
1.0,0.2,3,nan,0.09871666666666666,nan,0.098,32.13974450000023
1.0,0.4,3,nan,0.09871666666666666,nan,0.098,35.74817466700006
1.0,0.6,3,nan,0.09871666666666666,nan,0.098,32.81238937499984
